id;name;url
1;"source1";http://source1.com
2;"source2";http://source2.com
3;"source3";http://source3.com
4;"source4";http://source4.com
5;"source5";http://source5.com
6;"source6";http://source6.com
7;"source7";http://source7.com
8;"source8";http://source8.com
9;"source9";http://source9.com
10;"source10";http://source10.com
11;"source11";http://source11.com
12;"source12";http://source12.com
13;"source13";http://source13.com
14;"source14";http://source14.com
15;"source15";http://source15.com
16;"source16";http://source16.com
17;"source17";http://source17.com
18;"source18";http://source18.com
19;"source19";http://source19.com
20;"source20";http://source20.com
21;"source21";http://source21.com
22;"source22";http://source22.com
23;"source23";http://source23.com
24;"source24";http://source24.com
25;"source25";http://source25.com
26;"source26";http://source26.com
27;"source27";http://source27.com
28;"source28";http://source28.com
29;"source29";http://source29.com
30;"source30";http://source30.com
